make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,total_revenue,profit_margin,profit_margin_tier,sale_month_year,sale_quarter
Ford,Mustang,Deluxe,coupe,automatic,1fafp404x3f337489,sc,2,141579,silver,gray,titlemax/myrtle beach sc1,2150,1700,Thu May 28 2015 01:30:00,1700,-0.2647058823529412,Low,May 2015,2
Dodge,Stratus,SXT,sedan,automatic,1b3el46x43n544941,fl,2,97354,red,gray,d&a fine cars,1650,1900,Fri May 29 2015 02:25:00,1900,0.13157894736842105,Medium,May 2015,2
Ford,Mustang,Base,coupe,automatic,1fafp40473f439588,nc,26,95876,gray,—,crossroads ford inc,2575,5200,Mon Jun 01 2015 02:00:00,5200,0.5048076923076923,High,June 2015,2
Ford,Escape,XLT Popular,suv,automatic,1fmyu03183ka79398,nc,33,239348,gray,beige,crossroads ford of indian trail,50,800,Mon Jun 01 2015 01:31:00,800,0.9375,High,June 2015,2
Ford,Mustang,Deluxe,convertible,automatic,1fafp44423f440920,fl,19,123714,red,black,pompano ford lincoln mercury,3025,1500,Fri May 29 2015 02:35:00,1500,-1.0166666666666666,Low,May 2015,2
Ford,Ranger,XL,supercab,automatic,1ftyr44v93pa42376,tx,36,89021,white,—,fairway ford henderson,4900,5700,Wed May 27 2015 03:00:00,5700,0.14035087719298245,Medium,May 2015,2
Ford,Econoline Cargo,E-350 Super Duty,van,Unknown,1ftss34l73ha16999,nc,19,271927,white,gray,fleet lease remarketing,1375,1700,Mon Jun 01 2015 02:30:00,1700,0.19117647058823528,Medium,June 2015,2
Honda,Accord,EX,sedan,Unknown,1hgcm56653a123481,va,27,193051,white,tan,pohanka honda of fredericksburg,2950,2500,Thu May 28 2015 02:50:00,2500,-0.18,Low,May 2015,2
Jeep,Wrangler,Sport,suv,manual,1j4fa49s43p344858,il,25,57674,red,black,santander consumer,12750,10000,Tue Jun 02 2015 03:00:00,10000,-0.275,Low,June 2015,2
Jeep,Grand Cherokee,Laredo,suv,automatic,1j4gw48s03c584312,nc,32,155118,blue,gray,credit acceptance corp/vrs/southfield,2300,2200,Mon Jun 01 2015 02:30:00,2200,-0.045454545454545456,Low,June 2015,2
Unknown,Unknown,Unknown,Unknown,Unknown,2hges16443h945650,on,19,171767,silver,gray,mercedes-benz,1975,2000,Thu May 28 2015 11:30:00,2000,0.0125,Low,May 2015,2
Honda,Civic,LX,sedan,automatic,2hges16593h577913,fl,22,97855,silver,gray,coral springs honda,2750,2600,Fri May 29 2015 02:30:00,2600,-0.057692307692307696,Low,May 2015,2
Honda,Civic,LX,sedan,automatic,2hges16503h551040,ca,36,180476,white,gray,hoehn honda,1825,2400,Wed May 27 2015 05:30:00,2400,0.23958333333333334,High,May 2015,2
Honda,Odyssey,EX-L,minivan,automatic,5fnrl18013b023317,ca,35,121729,blue,gray,hoehn honda,3150,3100,Wed May 27 2015 05:30:00,3100,-0.016129032258064516,Low,May 2015,2
Infiniti,G35,Base,sedan,automatic,jnkcv51e13m018914,ca,19,247231,red,beige,aaero sweet corporation,1575,2200,Wed May 27 2015 04:30:00,2200,0.2840909090909091,High,May 2015,2
Hyundai,Elantra,GT,sedan,automatic,kmhdn45d13u681168,fl,19,219376,black,black,coggin honda of orlando,675,500,Thu May 28 2015 09:20:00,500,-0.35,Low,May 2015,2
Honda,Accord,EX,sedan,automatic,jhmcm56763c068453,tx,24,75087,gold,tan,david mcdavid acura,4575,4300,Wed May 27 2015 03:20:00,4300,-0.06395348837209303,Low,May 2015,2
Jeep,Liberty,Sport,suv,Unknown,1j4gl48k43w653025,wa,41,144705,green,black,lexus of tacoma at fife,2450,4100,Wed May 27 2015 06:20:00,4100,0.4024390243902439,High,May 2015,2
Honda,Accord,EX,sedan,automatic,1hgcm56613a050559,ca,21,201006,red,black,honda of el cerrito,2650,1950,Wed Jun 03 2015 05:30:00,1950,-0.358974358974359,Low,June 2015,2
